MAKE,year,Mileage,engine cc,selling_price
MARUTI,2014,23.4,1248,450000
SKODA,2014,21.14,1498,370000
HONDA,2006,17.7,1497,158000
HYUNDAI,2010,23,1396,225000
MARUTI,2007,16.1,1298,130000
HYUNDAI,2017,20.14,1197,440000
MARUTI,2001,16.1,796,45000
TOYOTA,2011,23.59,1364,350000
FORD,2013,20,1399,200000
RENAULT,2014,19.01,1461,500000
MARUTI,2005,17.3,993,92000
MARUTI,2009,19.3,1248,280000
MARUTI,2009,18.9,1061,180000
MAHINDRA,2016,18.15,1198,400000
MARUTI,2016,24.52,1248,778000
HYUNDAI,2012,23,1396,500000
MARUTI,2002,19.7,796,150000
HYUNDAI,2016,22.54,1396,680000
MAHINDRA,2011,21,1461,174000
HONDA,2017,25.5,1498,950000
MARUTI,2015,26.59,1248,525000
MARUTI,2012,21.5,1248,600000
TATA,2018,20.3,1199,500000
MARUTI,2016,21.4,1197,575000
MARUTI,2017,24.7,796,275000
CHEVROLET,2013,18.2,1248,300000
MARUTI,2009,18.9,1061,220000
MARUTI,2018,16.8,796,254999
MARUTI,2017,24.3,1248,670000
MARUTI,2012,14,796,150000
HYUNDAI,2018,18.6,1197,730000
MARUTI,2017,24.3,1248,650000
MARUTI,2019,23.95,998,366000
HYUNDAI,2019,17,1591,1149000
DATSUN,2016,20.63,1198,150000
TATA,2011,13.93,2179,425000
MARUTI,2012,16.1,796,150000
JEEP,2019,16,1368,2100000
HONDA,2018,17.8,1497,925000
HONDA,2013,16.8,1497,425000
MARUTI,2018,18.5,1197,675000
MARUTI,2018,24.3,1248,819999
MARUTI,2018,23.95,998,390000
TOYOTA,2014,12.55,2982,1500000
TOYOTA,2013,12.99,2494,700000
MERCEDES,2014,14.8,2143,1450000
HONDA,2015,24.7,1498,425000
MITSUBISHI,2013,13.5,2477,1090000
HONDA,2015,26,1498,600000
MARUTI,2018,20.65,1462,850000
HONDA,2015,27.3,1498,525000
TOYOTA,2016,11.36,2755,1650000
TOYOTA,2016,12.99,2494,950000
AUDI,2013,17.68,1968,1750000
TOYOTA,2018,14.28,1798,1590000
AUDI,2013,18.53,1968,1689999
MERCEDES,2013,14.84,2143,1425000
TATA,2011,21.12,1248,265000
HYUNDAI,2011,20.36,1197,190000
HYUNDAI,2013,21.27,1396,425000
MARUTI,2015,26.59,1248,630000
FORD,2017,18.16,1196,600000
MARUTI,2019,21.4,1197,650000
VOLKSWAGEN,2016,22,1498,540000
HONDA,2015,25.1,1498,630000
MARUTI,2018,20.51,998,448000
VOLKSWAGEN,2017,21.66,1498,500000
MARUTI,2016,24.3,1248,745000
MARUTI,2019,24.3,1248,1025000
HYUNDAI,2011,20.36,1197,235000
MARUTI,2016,25.2,1248,630000
TOYOTA,2015,12.55,2982,1700000
MARUTI,2013,22.9,1248,450000
MARUTI,2012,16.02,1373,450000
VOLKSWAGEN,2013,20.54,1598,450000
TOYOTA,2016,12.99,2494,1200000
FORD,2015,22.77,1498,610000
BMW,2016,15.71,1998,2500000
MARUTI,2017,23.1,998,484999
DATSUN,2016,19.02,1198,275000
MARUTI,2016,24.7,796,315000
MARUTI,2016,24.7,796,275000
HYUNDAI,2012,19.81,1086,290000
MARUTI,2017,14,796,280000
VOLKSWAGEN,2015,16.47,1198,455000
HYUNDAI,2015,19.81,1086,351000
VOLKSWAGEN,2012,15.04,1598,535000
MARUTI,2009,18.2,998,175000
HYUNDAI,2013,18.5,1197,525000
MARUTI,2016,26.59,1248,600000
HYUNDAI,2016,19.1,1197,565000
MARUTI,2008,19.7,796,120000
HYUNDAI,2017,22.54,1396,725000
MARUTI,2009,21.79,998,185000
TATA,2010,18.8,1248,200000
MARUTI,2019,21.21,1197,615000
MARUTI,2016,15.37,1196,270000
MARUTI,2018,21.4,1197,610000
MAHINDRA,2014,11.79,2179,625000
FORD,2020,19,1194,400000
HYUNDAI,2017,17,1591,866000
VOLKSWAGEN,2010,14.3,1798,700000
TATA,2010,15.8,1172,300000
MAHINDRA,2019,15.1,2179,1700000
TATA,2016,19.09,1405,375000
HYUNDAI,2013,22.32,1582,522000
HYUNDAI,2013,21.9,1396,451999
TOYOTA,2009,14.53,1798,300000
MARUTI,2020,21.63,998,475000
MARUTI,2016,24.3,1248,780000
MARUTI,2017,20.85,1197,595000
MARUTI,2017,20.51,998,440000
NISSAN,2014,20.45,1461,400000
HYUNDAI,2016,19.67,1582,1140000
FORD,2017,23,1498,850000
MARUTI,2012,19.3,1248,370000
RENAULT,2018,23.01,999,350000
MARUTI,2015,23.1,998,360000
MARUTI,2008,19.7,796,105000
MARUTI,2013,20.77,1248,625000
HYUNDAI,2009,17.92,1086,135000
MARUTI,2015,20.77,1248,700000
HONDA,2019,17.8,1198,690000
AUDI,2018,17.01,1968,3975000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
JEEP,2017,9.5,3604,4100000
LANDROVE,2019,12.83,1999,4500000
MERCEDES,2017,13.5,2987,6000000
BMW,2018,22.48,1995,3790000
BMW,2019,16.78,1995,5800000
SKODA,2018,14.67,1798,1864999
MERCEDES,2016,15,2143,2700000
MG,2019,13.96,1451,1750000
HONDA,2017,18,1497,795000
TOYOTA,2013,14.28,1798,625000
VOLVO,2018,18,1969,3400000
AUDI,2015,12.07,2967,2650000
MARUTI,2015,26.21,1248,535000
MERCEDES,2017,13.5,2987,5850000
BMW,2010,10.8,2497,975000
HYUNDAI,2016,16.3,1797,805000
JAGUAR,2017,13.6,1999,2625000
TATA,2018,17,1198,811000
VOLKSWAGEN,2011,15.04,1598,375000
HYUNDAI,2012,16.3,1797,550000
SKODA,2016,14.3,1598,645000
MERCEDES,2018,15.04,1991,2550000
MARUTI,2014,16.02,1373,599000
MERCEDES,2017,14.74,1991,2700000
HONDA,2017,15.6,1497,875000
TOYOTA,2019,19.56,1197,894999
MARUTI,2011,23.95,998,175000
MARUTI,2012,21.21,1197,340000
TOYOTA,2016,11.36,2755,1525000
TATA,2018,21.5,1497,1025000
BMW,2016,22.69,1995,2150000
TOYOTA,2016,19.16,2494,1900000
BMW,2016,18.12,1995,2900000
TOYOTA,2009,12.1,2362,450000
MARUTI,2016,17.5,1373,850000
VOLVO,2017,42,1969,10000000
VOLKSWAGEN,2011,20.54,1598,300000
FORD,2018,18.16,1196,575000
FORD,2011,20,1399,160000
MARUTI,2015,20.4,1197,515000
MARUTI,2015,20.51,998,390000
HYUNDAI,2016,18.6,1197,550000
MARUTI,1999,16.1,796,40000
MARUTI,2010,21.1,1248,220000
HYUNDAI,2015,18.9,1197,425000
VOLKSWAGEN,2019,19.44,999,480000
HYUNDAI,2014,18.9,1197,400000
MARUTI,2014,19.1,1197,487000
HYUNDAI,2016,19.1,1197,386000
HONDA,2005,13,1493,100000
TOYOTA,2010,21.43,1364,300000
DAEWOO,2000,18.5,796,100000
TOYOTA,2014,13,2982,1750000
MAHINDRA,2016,18.15,1198,450000
TATA,2017,22.95,1248,490000
HONDA,2009,17,1497,345000
MARUTI,2005,17.3,993,85000
MARUTI,2010,18.9,998,215000
HYUNDAI,2010,16.2,1599,320000
MARUTI,2016,20.85,1197,459999
HYUNDAI,2005,15.3,1341,65000
HYUNDAI,2020,18.6,1197,720000
MARUTI,2017,28.09,1248,800000
TATA,2019,20.3,1199,520000
MARUTI,2015,20.77,1248,580000
HONDA,2015,17.4,1497,600000
HONDA,2014,19.4,1198,290000
MARUTI,2017,20.85,1197,550000
HYUNDAI,2013,18.5,1197,375000
MARUTI,2018,20.51,998,420000
MARUTI,2017,21.21,1197,550000
MARUTI,2018,24.7,796,270000
MARUTI,2018,22,1197,700000
MARUTI,2017,20.4,1197,500000
TATA,2019,17.6,2179,1250000
HYUNDAI,2013,18.5,1197,320000
MARUTI,2018,28.4,1248,700000
MARUTI,2015,20.51,998,290000
TOYOTA,2012,14.53,1794,550000
HONDA,2012,19.4,1198,265000
MARUTI,2018,21.4,1197,830000
TATA,2017,14.1,2179,800000
MARUTI,2011,19.7,796,160000
RENAULT,2018,25.17,799,335000
DATSUN,2017,20.63,1198,329000
MARUTI,2017,24.3,1248,775000
HYUNDAI,2020,20.14,1197,524000
MARUTI,2015,22.74,796,245000
HYUNDAI,2012,17,1197,275000
TATA,2018,17.57,1193,520000
NISSAN,2014,16.95,1498,550000
FORD,2018,17,1497,910000
NISSAN,2015,19.49,1198,300000
MARUTI,2016,20.51,998,350000
MAHINDRA,2013,12.83,2696,900000
MAHINDRA,2013,17.21,1493,300000
MARUTI,2010,21.1,1248,250000
HYUNDAI,2017,19.67,1582,1100000
RENAULT,2016,25.17,799,270000
MARUTI,2015,20.77,1248,640000
MAHINDRA,2015,15.1,2179,650000
MARUTI,2017,15.37,1196,409999
HYUNDAI,2011,17.92,1086,165000
HYUNDAI,2007,13.2,1495,80000
MAHINDRA,2012,15.1,2179,535000
TOYOTA,2013,12.99,2494,700000
MARUTI,2013,23.4,1248,550000
HONDA,2019,19,1199,680000
HYUNDAI,2009,20.36,1197,200000
MARUTI,2014,23.4,1248,500000
MARUTI,2016,24.52,1248,1000000
HYUNDAI,2008,14.2,1341,110000
HYUNDAI,2012,18.5,1197,320000
MARUTI,2015,20.4,1197,350000
TATA,2013,19.4,1405,170000
HYUNDAI,2017,22.54,1396,800000
MARUTI,2017,26.8,1248,500000
TATA,2017,17.6,2179,1380000
MAHINDRA,2019,17.3,1497,1300000
HYUNDAI,2013,22.32,1582,530000
MARUTI,2012,23.4,1248,360000
MARUTI,2012,19.3,1248,310000
HONDA,2015,26,1498,725000
MARUTI,2012,19.3,1248,340000
HYUNDAI,2017,25.4,1186,550000
TOYOTA,2011,11.5,2982,1150000
TATA,2016,27.28,1047,380000
NISSAN,2013,17.97,1498,350000
HYUNDAI,2019,18.6,1197,610000
MARUTI,2015,20.85,1197,525000
TOYOTA,2011,12.8,2494,480000
MAHINDRA,2017,16.55,2498,780000
MARUTI,2012,19.3,1248,320000
MARUTI,2014,20.4,1197,375000
DATSUN,2019,19.02,1198,300000
HYUNDAI,2015,22.54,1396,500000
MAHINDRA,2011,12.05,2179,404000
TATA,2015,14.07,2956,500000
TATA,2017,27.28,1047,350000
TATA,2015,17.57,1193,380000
HYUNDAI,2008,13.2,1495,114999
HONDA,2014,19.4,1198,335000
HYUNDAI,2015,18.9,1197,465000
TATA,2012,21.02,1248,290000
MARUTI,2005,19.7,796,110000
TATA,2011,11.57,2179,450000
MAHINDRA,2009,13.6,2523,400000
MAHINDRA,2007,13.6,2523,210000
MERCEDES,2018,17.9,2143,4600000
MARUTI,2016,16.8,796,220000
HYUNDAI,2017,18.9,1197,450000
HYUNDAI,2017,18.9,1197,450000
HYUNDAI,2013,16.95,1197,290000
MARUTI,2016,20.4,1197,520000
HYUNDAI,2011,16.95,1197,265000
MARUTI,2012,18.6,1197,330000
MARUTI,2012,18.6,1197,330000
MAHINDRA,2014,15.96,2523,509999
HYUNDAI,2014,17.1,1591,500000
HYUNDAI,2015,17.19,1197,525000
MARUTI,2019,21.01,1197,675000
HYUNDAI,2010,17,1197,300000
MARUTI,2005,19.7,796,90000
MARUTI,2017,26.59,1248,650000
MARUTI,2014,19.1,1197,409000
HYUNDAI,2015,24,1120,395000
MARUTI,2014,19.1,1197,400000
CHEVROLET,2012,18.6,1199,120000
TATA,2018,20.3,1199,645000
MARUTI,2006,16.1,796,81000
HONDA,2017,25.6,1498,1300000
HONDA,2017,25.6,1498,1250000
MARUTI,2013,16.02,1373,535000
NISSAN,2014,19.01,1461,555000
HONDA,2014,17.4,1497,725000
RENAULT,2016,25.17,799,229999
TOYOTA,2013,12.99,2494,800000
MARUTI,2017,20.51,998,409999
HYUNDAI,2018,21.38,1396,1210000
TATA,2017,23.84,1199,400000
HYUNDAI,2018,24,1186,520000
MARUTI,2016,21.4,1197,650000
MARUTI,2011,16.1,1298,325000
MARUTI,2012,17.4,1197,420000
MARUTI,2014,20.4,1197,400000
HYUNDAI,2010,17,1197,254999
MARUTI,2003,17.3,993,65000
MARUTI,2017,23.1,998,351000
TOYOTA,2007,12.8,2494,404000
MARUTI,2011,21.1,1248,185000
NISSAN,2011,23.08,1461,250000
MARUTI,2002,17.3,993,60000
HYUNDAI,2013,17.1,1591,500000
MARUTI,2007,18.2,998,85000
MARUTI,2005,19.7,796,85000
MARUTI,2011,19.3,1248,265000
MARUTI,2010,19,998,130000
MARUTI,2013,20.77,1248,480000
MARUTI,2008,17.8,1248,170000
NISSAN,2011,23.08,1461,275000
MARUTI,2005,18.9,998,89000
FORD,2010,20,1399,170000
MAHINDRA,2019,17,1197,1090000
HYUNDAI,2017,17.01,1582,1100000
MARUTI,2018,22,1197,610000
DATSUN,2016,20.63,1198,335000
HYUNDAI,2015,18.9,1197,434999
TOYOTA,2018,14.24,2755,3000000
RENAULT,2018,20.71,799,390000
HONDA,2012,18.5,1198,325000
VOLKSWAGEN,2019,17,1198,640000
NISSAN,2012,16.95,1498,450000
TOYOTA,2013,23.59,1364,400000
HYUNDAI,2009,20.36,1197,215000
RENAULT,2014,20.45,1461,570000
MAHINDRA,2012,15.1,2179,680000
TOYOTA,2008,12.8,2494,325000
TATA,2011,15.64,1193,150000
HYUNDAI,2013,14.5,1797,690000
MERCEDES,2013,14.84,2143,1550000
TATA,2012,25.4,624,64000
NISSAN,2013,23.08,1461,250000
MARUTI,2005,18.9,998,65000
MARUTI,2016,26.59,1248,550000
HYUNDAI,2010,20.36,1197,140000
RENAULT,2016,25.17,799,300000
VOLKSWAGEN,2016,16.34,1798,800000
JAGUAR,2017,13.6,1999,2625000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
TATA,2015,14.1,2179,503000
VOLVO,2019,18,1969,3800000
TOYOTA,2016,19.16,2494,2000000
MARUTI,2013,21.79,998,225000
MARUTI,2018,27.39,1248,740000
HONDA,2016,18.2,1199,550000
TOYOTA,2013,12.99,2494,750000
MARUTI,2019,22,1197,650000
TOYOTA,2017,16.78,1496,625000
MARUTI,2018,22,1197,600000
HYUNDAI,2017,24,1186,450000
BMW,2019,16.78,1995,5400000
BMW,2019,16.78,1995,5500000
HONDA,2019,19,1199,779000
SKODA,2016,14.3,1598,645000
VOLVO,2018,16.8,1984,2475000
HYUNDAI,2010,20.36,1197,150000
HONDA,2009,11.1,2354,500000
MARUTI,2015,26.59,1248,480000
HYUNDAI,2014,22.32,1582,535000
TOYOTA,2005,12.8,2494,250000
MARUTI,2012,21.5,1248,300000
HYUNDAI,2009,13.9,1599,340000
HYUNDAI,2009,16.8,1493,340000
MARUTI,2016,22.74,796,240000
HONDA,2018,18,1497,1085000
MARUTI,2017,28.4,1248,750000
TATA,2012,17,1405,95000
MARUTI,2014,23.95,998,215000
MAHINDRA,2016,16,2179,1290000
MARUTI,2010,20.92,998,150000
HYUNDAI,2013,21.1,814,219000
TATA,2018,23.84,1199,325000
MARUTI,2013,15.1,1196,260000
JAGUAR,2017,13.6,1999,2625000
LEXUS,2019,22.37,2487,5150000
JAGUAR,2017,19.33,1999,3200000
TATA,2015,14.1,2179,503000
VOLVO,2019,18,1969,3800000
TOYOTA,2016,19.16,2494,2000000
MARUTI,2013,21.79,998,225000
MARUTI,2018,27.39,1248,740000
HONDA,2016,18.2,1199,550000
TOYOTA,2013,12.99,2494,750000
MARUTI,2019,22,1197,650000
TOYOTA,2017,16.78,1496,625000
MARUTI,2018,22,1197,600000
HYUNDAI,2017,24,1186,450000
BMW,2019,16.78,1995,5400000
BMW,2019,16.78,1995,5500000
HONDA,2019,19,1199,779000
SKODA,2016,14.3,1598,645000
VOLVO,2018,16.8,1984,2475000
HONDA,2019,23.8,1498,700000
HYUNDAI,2017,21.38,1396,950000
MARUTI,2010,19.7,796,160000
HYUNDAI,2015,24.4,1120,409999
TOYOTA,2015,12.99,2494,840000
TOYOTA,2013,23.59,1364,450000
MARUTI,2017,28.4,1248,900000
TOYOTA,2008,12.8,2494,570000
NISSAN,2011,23.08,1461,254999
MARUTI,2009,16.1,796,130000
MARUTI,2013,23.4,1248,530000
VOLKSWAGEN,2015,20.14,1498,520000
MAHINDRA,2011,21,1461,229999
MARUTI,2004,16.1,796,81000
MARUTI,2016,25.2,1248,600000
HYUNDAI,2015,19.1,1197,409999
MARUTI,2010,16.1,796,120000
MARUTI,2014,23.1,998,320000
FORD,2015,20,1399,292000
TATA,2012,13.93,2179,390000
FORD,2016,18.16,1196,550000
MARUTI,2014,23.1,998,385000
HYUNDAI,2016,15.29,1591,800000
MARUTI,2019,21.21,1197,675000
TATA,2018,17.6,2179,1525000
FORD,2018,23,1498,950000
HYUNDAI,2015,21.19,1396,610000
HYUNDAI,2012,22.54,1396,525000
HONDA,2019,23.8,1498,700000
MAHINDRA,2015,15.96,2523,375000
NISSAN,2015,20.45,1461,580000
MARUTI,2015,20.4,1197,434999
DATSUN,2020,22.5,999,350000
TOYOTA,2012,12.99,2494,730000
HYUNDAI,2015,18.6,1197,600000
TOYOTA,2015,12.99,2494,1050000
MARUTI,2017,27.39,1248,735000
RENAULT,2018,19.6,1461,1050000
CHEVROLET,2016,18.2,1248,420000
MARUTI,2017,23.65,1248,800000
TOYOTA,2015,12.55,2982,2000000
MARUTI,2016,26.59,1248,600000
TOYOTA,2015,12.55,2982,1900000
CHEVROLET,2011,11.5,1991,500000
TATA,2011,17,1405,200000
NISSAN,2016,19.49,1198,370000
HYUNDAI,2010,16.2,1493,260000
MAHINDRA,2016,25.32,1198,280000
MARUTI,2014,16.02,1373,610000
FORD,2013,23.5,1498,300000
TATA,2010,16.6,1405,140000
HYUNDAI,2008,19.81,1086,229999
MARUTI,2010,19,998,200000
MARUTI,2011,18.9,998,200000
HYUNDAI,2015,23.9,1582,560000
MARUTI,2016,24.52,1248,750000
MARUTI,2017,25.2,1248,585000
HYUNDAI,2016,17.01,1591,760000
MARUTI,2014,25.2,1248,430000
MAHINDRA,2020,25.32,1198,480000
KIA,2019,20.8,1493,643000
HYUNDAI,2018,20.14,1197,500000
HONDA,2016,18.5,1198,425000
MARUTI,2014,22.74,796,250000
MARUTI,2016,27.62,793,285000
MARUTI,2008,17.5,1298,160000
VOLKSWAGEN,2011,20.54,1598,250000
CHEVROLET,2013,18.6,1199,170000
TOYOTA,2013,23.59,1364,409999
