MAKE,year,selling_price,engine cc,Mileage
MARUTI ,2014,450000,1248,23.4
SKODA ,2014,370000,1498,21.14
HONDA ,2006,158000,1497,17.7
HYUNDAI,2010,225000,1396,23
MARUTI ,2007,130000,1298,16.1
HYUNDAI,2017,440000,1197,20.14
MARUTI ,2001,45000,796,16.1
TOYOTA ,2011,350000,1364,23.59
FORD,2013,200000,1399,20
RENAULT ,2014,500000,1461,19.01
MARUTI ,2005,92000,993,17.3
MARUTI ,2009,280000,1248,19.3
MARUTI ,2009,180000,1061,18.9
MAHINDRA ,2016,400000,1198,18.15
MARUTI ,2016,778000,1248,24.52
HYUNDAI,2012,500000,1396,23
MARUTI ,2002,150000,796,19.7
HYUNDAI,2016,680000,1396,22.54
MAHINDRA ,2011,174000,1461,21
HONDA ,2017,950000,1498,25.5
MARUTI ,2015,525000,1248,26.59
MARUTI ,2012,600000,1248,21.5
TATA,2018,500000,1199,20.3
MARUTI ,2016,575000,1197,21.4
MARUTI ,2017,275000,796,24.7
CHEVROLET ,2013,300000,1248,18.2
MARUTI ,2009,220000,1061,18.9
MARUTI ,2018,254999,796,16.8
MARUTI ,2017,670000,1248,24.3
MARUTI ,2012,150000,796,14
HYUNDAI,2018,730000,1197,18.6
MARUTI ,2017,650000,1248,24.3
MARUTI ,2019,366000,998,23.95
HYUNDAI,2019,1149000,1591,17
DATSUN ,2016,150000,1198,20.63
TATA,2011,425000,2179,13.93
MARUTI ,2012,150000,796,16.1
JEEP,2019,2100000,1368,16
HONDA ,2018,925000,1497,17.8
HONDA ,2013,425000,1497,16.8
MARUTI ,2018,675000,1197,18.5
MARUTI ,2018,819999,1248,24.3
MARUTI ,2018,390000,998,23.95
TOYOTA ,2014,1500000,2982,12.55
TOYOTA ,2013,700000,2494,12.99
MERCEDES,2014,1450000,2143,14.8
HONDA ,2015,425000,1498,24.7
MITSUBISHI,2013,1090000,2477,13.5
HONDA ,2015,600000,1498,26
MARUTI ,2018,850000,1462,20.65
HONDA ,2015,525000,1498,27.3
TOYOTA ,2016,1650000,2755,11.36
TOYOTA ,2016,950000,2494,12.99
AUDI,2013,1750000,1968,17.68
TOYOTA ,2018,1590000,1798,14.28
AUDI,2013,1689999,1968,18.53
MERCEDES,2013,1425000,2143,14.84
TATA,2011,265000,1248,21.12
HYUNDAI,2011,190000,1197,20.36
HYUNDAI,2013,425000,1396,21.27
MARUTI ,2015,630000,1248,26.59
FORD,2017,600000,1196,18.16
MARUTI ,2019,650000,1197,21.4
VOLKSWAGEN,2016,540000,1498,22
HONDA ,2015,630000,1498,25.1
MARUTI ,2018,448000,998,20.51
VOLKSWAGEN,2017,500000,1498,21.66
MARUTI ,2016,745000,1248,24.3
MARUTI ,2019,1025000,1248,24.3
HYUNDAI,2011,235000,1197,20.36
MARUTI ,2016,630000,1248,25.2
TOYOTA ,2015,1700000,2982,12.55
MARUTI ,2013,450000,1248,22.9
MARUTI ,2012,450000,1373,16.02
VOLKSWAGEN,2013,450000,1598,20.54
TOYOTA ,2016,1200000,2494,12.99
FORD,2015,610000,1498,22.77
BMW ,2016,2500000,1998,15.71
MARUTI ,2017,484999,998,23.1
DATSUN ,2016,275000,1198,19.02
MARUTI ,2016,315000,796,24.7
MARUTI ,2016,275000,796,24.7
HYUNDAI,2012,290000,1086,19.81
MARUTI ,2017,280000,796,14
VOLKSWAGEN,2015,455000,1198,16.47
HYUNDAI,2015,351000,1086,19.81
VOLKSWAGEN,2012,535000,1598,15.04
MARUTI ,2009,175000,998,18.2
HYUNDAI,2013,525000,1197,18.5
MARUTI ,2016,600000,1248,26.59
HYUNDAI,2016,565000,1197,19.1
MARUTI ,2008,120000,796,19.7
HYUNDAI,2017,725000,1396,22.54
MARUTI ,2009,185000,998,21.79
TATA,2010,200000,1248,18.8
MARUTI ,2019,615000,1197,21.21
MARUTI ,2016,270000,1196,15.37
MARUTI ,2018,610000,1197,21.4
MAHINDRA ,2014,625000,2179,11.79
FORD,2020,400000,1194,19
HYUNDAI,2017,866000,1591,17
VOLKSWAGEN,2010,700000,1798,14.3
TATA,2010,300000,1172,15.8
MAHINDRA ,2019,1700000,2179,15.1
TATA,2016,375000,1405,19.09
HYUNDAI,2013,522000,1582,22.32
HYUNDAI,2013,451999,1396,21.9
TOYOTA ,2009,300000,1798,14.53
MARUTI ,2020,475000,998,21.63
MARUTI ,2016,780000,1248,24.3
MARUTI ,2017,595000,1197,20.85
MARUTI ,2017,440000,998,20.51
NISSAN ,2014,400000,1461,20.45
HYUNDAI,2016,1140000,1582,19.67
FORD,2017,850000,1498,23
MARUTI ,2012,370000,1248,19.3
RENAULT ,2018,350000,999,23.01
